departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
CORDOBA,23,TIERRALTA,"23,807",Rural,LA GLORIA,"2,018",10,Menor de 18 años,no,Civil,Herido,Masculino,8.136211,-75.968474,Accidente por MAP,"(8.136211, -75.968474)","Pasando, estando cerca"
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,018",11,Mayor de 18 años,Indigena,Civil,Herido,Masculino,7.527,-75.5,Accidente por MAP,"(7.527, -75.5)","Pasando, estando cerca"
CORDOBA,23,TIERRALTA,"23,807",Rural,La Ossa,"2,018",11,Mayor de 18 años,no,Civil,Herido,Masculino,8.005,-76.283,Accidente por MAP,"(8.005, -76.283)","Recogiendo comida, agua ó  madera"
NORTE DE SANTANDER,54,CONVENCIÓN,"54,206",Rural,GUASILES,"2,018",11,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.7325,-73.2827777777778,Accidente por MAP,"(8.7325, -73.2827777777778)",Fuerza pública
NORTE DE SANTANDER,54,CONVENCIÓN,"54,206",Rural,GUASILES,"2,018",11,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.7325,-73.2827777777778,Accidente por MAP,"(8.7325, -73.2827777777778)",Fuerza pública
NORTE DE SANTANDER,54,CONVENCIÓN,"54,206",Rural,GUASILES,"2,018",11,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.7325,-73.2827777777778,Accidente por MAP,"(8.7325, -73.2827777777778)",Fuerza pública
NORTE DE SANTANDER,54,SARDINATA,"54,720",Rural,Sin Información,"2,018",11,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.40333333333333,-72.9652777777778,Accidente por MAP,"(8.40333333333333, -72.9652777777778)",Fuerza pública
NARIÑO,52,TUMACO,"52,835",Rural,VEREDA EL PLAYÓN,"2,018",11,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.32944444444444,-78.5736111111111,Accidente por MAP,"(1.32944444444444, -78.5736111111111)",Fuerza pública
ARAUCA,81,SARAVENA,"81,736",Rural,VEREDA LA CHUCUA,"2,018",11,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,6.93055555555556,-71.7544444444444,Accidente por MAP,"(6.93055555555556, -71.7544444444444)",Fuerza pública
NORTE DE SANTANDER,54,SARDINATA,"54,720",Rural,Sin Información,"2,018",11,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.40333333333333,-72.9652777777778,Accidente por MAP,"(8.40333333333333, -72.9652777777778)",Sin Información
